Agency,Requests Received
Redwood City Police Department,11
Massachusetts Environmental Police,11
Louisville Metro Police Department,11
Tewksbury Police Department,11
Tallahassee Police Department,11
Roseville Police Department,11
Peabody Police Department,11
Lansing Police Department,11
Pawtucket Police Department,11
Bridgeport Police Department,11
Fargo Police Department,11
Pleasanton Police Department,11
Sandy Springs Police Department,11
Manchester Police Department,11
Cary Police Department,11
Bismarck Police Department,11
Clearwater Police Department,10
Hennepin County Sheriff's Office,10
Warwick Police Department,10
Santa Barbara County Sheriff's Office,10
Huntsville Police Department,10
Abington Police Department,10
Vacaville Police Department,10
Barnstable Police Department,10
Rhode Island Department of Public Safety,10
El Dorado County Sheriff's Office,10
Chattanooga Police Department,10
Clackamas County Sheriff's Office,10
Killeen Police Department,10
Wayne County Sheriff,10
Troy Police Department,10
Vancouver Police Department,10
McLennan County Sheriff,10
Alamance County Sheriff,10
West Palm Beach Police Department,10
Volusia County Sheriff's Office,10
Henderson Police,10
McAllen Police Department,10
New Hanover County Sheriff's Office,10
Escambia County Sheriff's Office,10
Mountain View Police Department,10
Montgomery County Sheriff,10
Huntington Beach Police Department,10
Garden Grove Police Department,10
Lexington Division of Police,10
Harris County Sheriff's Office,10
Simi Valley Police Department,10
Marlborough Police Department,10
Merced County Sheriff's Department,9
Santa Fe Police Department,9
Williamson County Sheriff,9
Jefferson Parish Sheriff,9
Corona Police Department,9
Evansville Police Department,9
Cranston Police Department,9
Metropolitan Transit Authority Police,9
Naperville Police Department,9
City of Fort Collins Police Department,9
Gastonia Police Department,9
"University of Massachusetts, Amherst Police Department",9
Adams County Sheriff's Office,9
Union County Sheriff,9
Elgin Police Department,9
Ashland Police Department,9
Elk Grove Police Department,9
UNC-Chapel Hill Department of Public Safety,9
Dearborn Police Department,9
Akron Police Department,9
Lewis County Sheriff's Department,9
Boulder County Sheriff's Office,9
"Montgomery County, TX Sheriff",9
Mobile Police Department,9
Utica Police Department,9
Roswell Police Department,9
Pinal County Sheriff's Office,9
Shasta County Sheriff,9
Danvers Police Department,9
Philadelphia Sheriff's Office,9
Dedham Police Department,9
Clark County Sheriff's Office,9
Portsmouth Police Department,9
Travis County Sheriff's Department,9
San Mateo Police Department,9
Sioux Falls Police Department,9
Ithaca Police Department,9
Des Plaines Police Department,9
Walnut Creek Police Department,9
Sonoma County Sheriff's Office,9
Sacramento County Sheriff's Department,9
St Paul Police Department,9
El Paso County Sheriff,9
Midland Police Department,9
Novato Police Department,9
Provo Police Department,9
Sunrise Police Department,8
Round Rock Police Department,8
Hidalgo County Sheriff's Office,8
Salinas Police Department,8
Rockford Police Department,8
Beaverton Police Department,8
High Point Police Department,8
Stamford Police Department,8
Hays County Sheriff's Office,8
Mendocino County Sheriff's Department,8
Beacon City Police Department,8
Norwood Police Department,8
Burbank Police Department,8
North Providence Police Department,8
Binghamton Police Department,8
North Andover Police Department,8
Cherokee County Sheriff's Office,8
Norman Police Department,8
Niagara County Sheriff,8
Chico Police Department,8
Fairfax County Sheriff,8
New Mexico Department of Public Safety,8
West Springfield Police Department,8
Dover Police Department,8
Nantucket Police Department,8
Clark County Sheriff's Department,8
Fullerton Police Department,8
Williamson County Sheriffs Office,8
Clay County Sheriff's Office,8
Monterey County Sheriff’s Office,8
Minnesota Department of Public Safety,8
Cobb County Police Department,8
Middleton Police Department,8
Snohomish County Sheriff's Office,8
Merced Police Department,8
Antioch California Police Department,8
Anoka County Sheriff's Office,8
Leicester Police Department,8
Boston University Police,8
Rapid City Police Department,8
Brentwood Police Department,8
Scituate Police Department,8
Lake County Sheriff,8
Lakeland Police Department,8
Hollywood Police Department,8
Union City Police Department,8
Canton Police Department,8
Las Cruces Police Department,8
Appleton Police Department,8
San Joaquin County Sheriff's Office,8
Olathe Police Department,8
Sheriff's Department,8
Virginia Department of Public Safety,8
Hopkinton Police Department,8
Livermore Police Department,8
Beverly Hills Police Department,8
Bibb County Sheriff's Office,7
Santa Rosa County Sheriff's Office,7
Duluth Police Department,7
Sausalito Police Department,7
Douglas County Sheriffs Office (NV),7
South Bend Police Department,7
Shreveport Police Department,7
Boca Raton Police Department,7
Bexar County Sheriff's Office,7
Seal Beach Police Department,7
Downey Police Department,7
Southbridge Police Department,7
Douglas County Sheriff,7
East Baton Rouge Parish Sheriff's Office,7
Shrewsbury Police Department,7
Independence Police Department,7
Humboldt County Sheriff's Office,7
Jefferson County Sheriffs Office,7
Lowndes County Sheriff's Office,7
Laramie County Sheriff,7
Dayton Police Department,7
Greenville County Sheriff's Department,7
Carson City Sheriff’s Department,7
Overland Park Police Department,7
Grand Rapids Police Department,7
Vineland Police Department,7
Culver City Police Department,7
Wake County Sheriff's Department,7
Ogden City Police Department,7
Gloucester Police Department,7
Charles County Sheriff's Office,7
Eugene Police Department,7
Norwalk Police Department,7
Niagara Falls Police Department,7
Pomona Police Department,7
West Covina Police Department,7
Gary Police Department,7
Westminster Police Department,7
Manalapan Police Department,7
Alameda Police Department,7
Federal Way Police Department.,7
Woodbridge Police Department,7
Foxborough Police Department,7
Yakima Police Department,7
Fort Myers Police Department,7
Yonkers Police Department,7
Mill Valley Police Department,7
Miami Gardens Police Department,7
Mesquite Police Department,7
Tustin Police Department,7
Enfield Police Department,7
Hawthorne Police Department,7
Renton Police Department,7
Kitsap County Sheriff's Office,7
Harvard University Police,7
Department Of Police Accountability,7
Pulaski County Sheriff,7
River Forest Police Department,7
Kauai Police Department,7
Beaumont Police Department,7
Denver County Sheriff,7
Hammond Police Department,7
Rutherford County Sheriff,7
"La Mesa, CA Police Department",7
Rialto Police Department,7
Johnson County Sheriff's Office,7
Richardson Police Department,7
Port St. Lucie Police Department,7
Belmont Police Department,7
Madison County Sheriff's Office,6
Coventry Police Department,6
Santa Cruz County Sheriff's Office,6
Newport News Police,6
Chelmsford Police Department,6
Port Chester Police Department,6
Coral Springs Police Department,6
Keene Police Department,6
Manatee County Sheriff's Office,6
Denton Police Department,6
Coral Gables Police Department,6
Morton Grove Police Department,6
Clifton Police Department,6
Rome Police Department,6
Joliet Police Department,6
Columbia County Sheriff's Office,6
Salt Lake County Sheriff's Office,6
San Luis Obispo County Sheriff,6
Smithfield Police Department,6
North Little Rock Police Department,6
Oak Park Police Department,6
Longmeadow Police Department,6
Daly City Police Department,6
Lafourche Parish Sheriff's Office,6
Poughkeepsie Police Department,6
Lane County Sheriff's Office,6
Placerville Police Department,6
Placer County Sheriff,6
Calhoun County Sheriff's Office,6
Kootenai County Sheriff,6
Danville Police Department,6
Solano County Sheriff,6
Pasco Police Department,6
Dane County Sheriff,6
Jackson County Sheriff,6
San Francisco Police Commission,6
Charlotte County Sheriff's Office,6
Palm Beach Police Department,6
Palm Beach Gardens Police Department,6
Oxford Police Department,6
Shelby County Sheriff,6
Lincoln County Sheriff's Office,6
Osceola County Sheriff's Department,6
Cecil County Sheriff's Office,6
Cumberland Police Department,6
Redding Police Department,6
Burrillville Police Department,6
Redondo Beach Police Department,6
Brazoria County Sheriff's Office,6
Carroll County Sheriffs Office,6
San Leandro Police Department,6
Emeryville Police Department,6
Tyler Police Department,6
Tuscaloosa Police Department,6
Arvada Police Department,6
Flint Police Dept.,6
Trumbull Police Department,6
Glenview Police Department Illinois,6
El Monte Police Department,6
"Glendora, CA Police Department",6
Ann Arbor Police Department,6
Forsyth County Sheriff's Office,6
Springdale Police Department,6
Benton County Sheriff's Office,6
Tiburon Police Department,6
Fort Bend County Sheriff's Office,6
Thurston County Sheriff,6
Thornton Police Department,6
Texas Department Of Public Safety,6
Amarillo Police Department,6
Airport Police Department,6
Worcester County Sheriff's Office,6
Allegheny County Sheriff's Office,6
Allegheny County Police Department,6
Surprise Police Department,6
Hernando County Sheriff's Department,6
Bergen County Police Department,6
State College Area Police Department,6
Stark County Sheriff,6
Stanislaus County Sheriff's Department,6
South San Francisco Police Department,6
Frederick Police Department,6
BART Police,6
police department,6
Atlantic City Police Department,6
University of Washington Police,6
Florence Police Department,6
Grand Forks Police Department,6
Hudson Police Department,6
Blacksburg Police Department,6
Westerly Police Department,5
Brookhaven Police Department,5
Johnston Police Department,5
Corning Police Department,5
Pembroke Pines Police Department,5
Jones County Sheriff's Office,5
Nevada County Sheriff,5
"Department of Public Safety, Architectural Access Board",5
Plumas County Sheriff,5
Brownsville Police Department,5
Carrollton Police Department,5
Gardena Police Department,5
City Of Allen Police Department,5
Jupiter Police Department,5
Citrus County Sheriff's Office,5
West Virginia Division of Protective Services (WV Capitol Police),5
West Valley Police Department,5
West Sacramento Police Department,5
Palos Verdes Estates Police Department,5
Gaston County Sheriff,5
City of San Luis Obispo Police Department,5
Nantucket County Sheriff’s Department,5
Falls Church Police Department,5
White Plains Department of Public Safety,5
Hingham Police Department,5
Jamestown Police Department,5
Winchester Police Department,5
Greene County Sheriff,5
Pearland Police Department,5
Wilson County Sheriff,5
Mariposa County Sheriff,5
Clayton County Police Department,5
Marietta Police Department,5
Clarksville Police Department,5
Williamsburg Police Department,5
Bristol Police Department,5
Claremont Police Department,5
San Benito County Sheriff,5
Carroll County Sheriff,5
Mansfield Police Department,5
Munster Police Department,5
Murrieta Police Department,5
Sumter County Sheriff's Office,5
Fulton County Sheriff's Office,5
Buena Park Police Department,5
Hawaii Police Department,5
Petaluma Police Department,5
Madison County Sheriff's Department,5
North Palm Beach Police Department,5
Los Angeles School Police Department,5
Washington County Sheriff's Department,5
Lincoln County Sheriff's Department,5
Glenn County Sheriff,5
Trenton Police Department,5
Hamilton County Sheriff's Office,5
Prince William County Police,5
Hamilton County Sheriff,5
Placentia Police Department,5
Champaign Police Department,5
Logan County Sheriff's Office,5
Portage Police Department,5
Tulare County Sheriff,5
Lockport City Police Department,5
Tulsa County Sheriff,5
Okaloosa County Sheriffs Office,5
Walton County Sheriff's Office,5
Oklahoma County Sheriff,5
Camden Police Department,5
Guilford County Sheriff's Office,5
Cedar Rapids Police Department,5
Lexington Police Department,5
North Miami Police Department,5
Plattsburgh Police Department,5
Pike County Sheriff's Office,5
West Fargo Police Department,5
Chino Police Department,5
Newport Police Department,5
Leon County Sheriff Department,5
Harrisburg Police Department,5
Kent County Sheriff,5
Covina Police Department,5
Grays Harbor County Sheriff's Office,5
Palm Bay Police Department,5
Leon County Sheriff's Office,5
Davie Police Department,5
Lumberton Police Department,5
Coweta County Sheriff's Office,5
Chesterfield Police Department,5
Redwood Police Department,5
Larimer County Sheriff,5
North Attleboro Police Department,5
Tonawanda Town Police Department,5
North Kingstown Police Department,5
Butte County Sheriff,5
El Cajon Police Department,5
Tiverton Police Department,5
"Office of the Attorney General, Department of Law and Public Safety",5
Taylor County Sheriff's Office,5
Franklin County Sheriff,5
York City Police Department,5
Miramar Police Department,5
Cochise County Sheriff's Office,5
Hudson County Sheriff's Department,5
Collin County Sheriff's Office,5
Huntington Police Department,5
South Lake Tahoe Police Department,5
"Mesa County, CO Sheriff",5
Woonsocket Police Department,5
Schuyler County Sheriff's Office,5
Monroe County Sheriff's Office,5
Aberdeen Police Department,5
Maui Police Department,5
Midland County Sheriff,5
Alachua County Sheriff,5
Flagler County Sheriff's Office,5
Douglas County Sheriff's Office,5
Houston County Sheriff,5
East Greenwich Police Department,5
Bethel Park Police Department,5
Inglewood Police Department,5
St Charles Parish Sheriff,5
Columbia County Sheriff,5
Snoqualmie Police Department,5
Fayette County Sheriff,5
St Michaels Police Department FOIA,5
Smyrna Police Department,5
Mercer County Sheriff,5
Santa Maria Police Department,5
Dickson County Sheriff's Office,5
Mohave County Sheriff's Office,5
Modoc County Sheriff,5
Albemarle County Police Department,5
Southampton Village Police Department,5
Glocester Police Department,4
Duval County Sheriff,4
Warren County Sheriff's Office,4
Lacey Police Department,4
Durham County Sheriff's Office,4
Calcasieu Parish Sheriff's Office,4
Charleston County Sheriff's Office,4
Trinity County Sheriff,4
Lombard Police Department,4
Lodi Police Department,4
Ocala Police Department,4
La Habra Police Department,4
Oconee County Sheriff's Office,4
Bangor Police Department,4
Calhoun County Sheriff's Department,4
Hampden County Sheriff's Office,4
Arcadia Police Department,4
Ada County Sheriff's Office,4
Edinburg Police Department,4
Weber County Sheriff's Office,4
Webb County Sheriff,4
Bethlehem Police Department,4
Waxahachie Police Department,4
Waukegan Police Department,4
Shawnee County Sheriff's Department,4
Bartlett Police Department,4
Randolph Police Department,4
Adair County Sheriff 's Department,4
Spencer Village Police Department,4
Stafford County Sheriff's Office,4
Kings County Sheriff,4
North Smithfield Police Department,4
Washoe County Sheriff,4
Creve Coeur Police Department,4
Indian River County Sheriff's Department,4
Eureka Police Department,4
Spearfish Police Department,4
Hampshire County Sheriff,4
Midlothian Police Department TX,4
Colorado Department of Public Safety,4
Pueblo County Sheriff's Office,4
Charlestown Police Department,4
Mecklenburg County Sheriff's Office,4
Southern Chester County Regional Police Department,4
Goodyear Police Department,4
Del Norte County Sheriff's Office,4
Danbury Police Department,4
Cass County Sheriff's Office,4
Siskiyou County Sheriff,4
Pacifica Police Department,4
"Dallas, TX Police Department",4
DuPage County Sheriff,4
Lassen County Sheriff's Department,4
Palm Springs Police Department,4
Valdosta Police Department,4
College Station Police Department,4
Uxbridge Police Department,4
Pershing County Sheriff's Office,4
Lawton Police Department,4
Peoria County Sheriff,4
Ventura County Sheriff,4
Bloomfield Police Department,4
Attleboro Police Department,4
Pennington County Sheriff's Office,4
Lee County Sheriff,4
College Park Police Department,4
Greenfield Police Department,4
Mercer County Sheriff's Office,4
Hull Police Department,4
police,4
Greene County sheriffs Office,4
Passaic County Sheriff,4
Paterson Police Department,4
Lewis County Sheriff's Office,4
"Pima County Sheriff's Department, Tuscon",4
Yuma Police Department,4
Virginia Military Institute Police,4
Pompano Beach Police Department,4
Hagerstown Police Department,4
Douglasville Police Department,4
Baldwin Park Police Department,4
Iowa City Police Department,4
Melbourne Police Department,4
Oneida County Sheriff,4
Little Compton Police Department,4
Erie Police Department,4
Gwinnett County Sheriff,4
Sierra County Sheriff's Office,4
Decatur Police Department,4
Orange County Sheriff,4
Cuyahoga County Sheriff,4
UVM Police,4
Sierra Vista Police Department,4
Lamar County Sheriff's Department,4
Downers Grove Police Department,4
Orchard Park Town Police Department,4
Lincolnwood Police Department,4
South Kingstown Police Department,4
Ulster County Sheriffs Office,4
Abilene Texas Police Department,4
South Jordan Police Department,4
South Gate Police Department,4
Pitkin County Sheriff's Office,4
Fort Bragg Police Department,4
Hampton Police Division,4
Harnett County Sheriff,4
Kane County Sheriff's Department,4
Alpine County Sheriff's Office,4
St. Johns County Sheriff's Office,4
West Warwick Police Department,4
Berkshire County Sheriff's Office,4
Herndon Police Department,4
Garfield County Sheriff,4
Columbus Police Department,4
Whittier Police Department,4
West Seneca Town Police Department,4
West New York Police Department,4
Bradford County Sheriff's Office,4
Mount Vernon City Police Department,4
East Carolina State University Police Department,4
Missouri City Police Department,4
Tarrant County Sheriff's Office,4
Wright County Sheriff Office,4
Albany Police Department,4
Madera County Sheriff's Office,4
New Shoreham Police Department,4
"Department Of Public Safety, Georgia State Patrol",4
Mobile County Sheriff's Department,4
Island County Sheriff's Office,4
Saratoga County Sheriff,4
Helena Police Department,4
City of Westminster Police,4
Napa County Sheriff,4
Napa Police Department,4
Narragansett Police Department,4
Brookfield Police Department,4
Scarsdale Village Police Department,4
Sussex County Sheriff,4
Municipal Police Training Committee,4
Mono County Sheriff,4
Sutter County Sheriff's Office,4
Whatcom County Sheriff's Office,4
Hermosa Beach Police Department,4
Salt Lake City Unified Police Department,4
Russell County Sheriff,4
Colusa County Sheriff's Office,4
Broome County Sheriff,4
Galt Police Department,4
Rowan County Sheriff's Office,4
New Britain Police Department,4
Bergen County Sheriff's Office (NJ),4
Wichita Falls Police Department,4
Kennett Square Police Department,4
Tehama County Sheriff's Office,4
Jackson County Sheriff’s Office,4
Marion County Sheriffs Office,4
Foster Police Department,4
Kennesaw Police Department,4
Morris County Sheriff,4
Newport Beach Police Department,4
Richland Police Department,4
Costa Mesa Police Department,4
Riley County Police Department,4
Eden Police Department,4
Mineral County Sheriff's Office,4
Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,4
Seneca Falls Village Police Department,4
Hillsboro Police Department,4
West Hartford Police Department,4
"Keller, TX Police Department",4
West Greenwich Police Department,4
San Rafael Police Department,4
Fairbanks Police Department,4
Newtown Police Department,4
San Miguel County Sheriff,4
Winnemucca Police Department,3
Marshall Police Department,3
Alexandria City Firefighters' & Police Officers' Retirement System,3
Asotin County Police Department,3
Custer County Sheriff,3
Cypress Police Department,3
Otero County Sheriff,3
Marion County Sheriff,3
Moreno Valley Police Department,3
Grand Island Town Police Department,3
Clear Creek County Sheriff,3
Grand County Sheriffs Office,3
Windsor Police Department,3
Pasquotank County Sheriff,3
Muskegon County Sheriff,3
Monrovia Police Department,3
Fulton County Sheriff,3
Murfreesboro Police Department,3
Martin County Sheriff's Office,3
Morehouse Parish Sheriff's Office,3
Grand Forks County Sheriff,3
Orleans Parish Sheriff's Department,3
Dallas County Sheriff's Department,3
Marysville Police Department,3
Greeley Police Department,3
Ottawa County Sheriff's Office,3
Mesquite Police Department NV,3
Floyd County Sheriff,3
Woburn Police Department,3
Cold Spring Police Department,3
"Franklin County Sheriff's Office, Pasco, Washington State",3
Lenox Police Department,3
Panama City Police Department,3
Fayette County Sheriff's Office,3
Clarkstown Police Department (NY),3
Carthage Police Department,3
Marion County Sheriff's Office,3
Paoli Police Department,3
Great Falls Police Dept.,3
Ashe County Sheriff's Office,3
Englewood Police Department,3
Memphis International Airport Police  Department,3
Coppell Police Department,3
Farmington Hills Police Department,3
Grand Junction Police Department,3
Paradise Valley Police Department,3
Ozark Police Department,3
Manteca Police Department,3
Grant County Sheriff's Office,3
Oxford County Sheriff's Office,3
Greece NY Police Department,3
Lewiston Police Department,3
Park City Police Department,3
Lewiston Town Police Department,3
Park County Sheriff's Office,3
Whitman Police Department,3
Farmington Police Department,3
Alamosa County Sheriff,3
Vermilion County Sheriff,3
Mandan Police Department,3
McDonough Police Department,3
Muskogee Police Department,3
Lorena Police Department,3
Foster City Police Department,3
North Miami Beach Police Department,3
Chittenden County Sheriff's Department,3
Annapolis Police Department,3
Waterbury Police Department,3
North Tonawanda City Police Department,3
Washtenaw County Sheriff,3
Christian County Sheriff MO,3
Watkins Glen Village Police Department,3
New Windsor Police Department,3
Arapahoe County Sheriff,3
Paulding County Sheriff's Office,3
Oak Bluffs Police Department (Martha's Vineyard),3
Madison County Sheriff,3
Etowah County Sheriff's Office,3
Missoula County Sheriff,3
Yolo County Sheriff,3
Cobb County Sheriff,3
Fountain Valley Police Department,3
Webster Police Department,3
Wellesley Police Department,3
Yellowstone County Sheriff's Office,3
Covington Police Department,3
Georgetown Police Department,3
Norcross Police Department,3
Yale University Police Department,3
Weld County Sheriff,3
Georgia Tech Police Department,3
Yakima County Sheriff's Office,3
Niagara Town Police Department,3
Excelsior Springs Police Department,3
