Agency,Avg Days Till Completion
Cambridge Police Department,82 days 01:44:41.014005259
Cambridge Village Police Department,31 days 01:59:05.904759
Camden County Police Department,29 days 07:30:20.079941500
Camden County Sheriff,6 days 19:59:55.707117
Camden County Sheriff's Office,16 days 15:52:57.267341
Camden Police Department,29 days 12:45:22.687619666
Camden Village Police Department,144 days 06:43:47.568552
Cameron County Sheriff,34 days 20:00:00
Cameron County Sheriff Department,5 days 20:00:00
Cameron Parish Sheriff's Office,17 days 20:00:00
Camilla Police Department,11 days 19:41:19.672474
Camillus Town and Village Police Department,455 days 07:25:49.916377
Campbell County Sheriff,173 days 15:58:01.004380500
Campbell Police Department,5 days 16:54:18.423322333
Campton Police Department,4 days 22:18:04.391109
Canadian County Sheriff,5 days 04:42:55.477647
Canajoharie Village Police Department,44 days 04:01:14.040355
Canastota Village Police Department,97 days 08:15:44.808019
Canby Police Department,58 days 20:00:00
Candor Village Police Department,2 days 08:23:42.304299
Canisteo Village Police Department,65 days 10:33:37.061713
Cannon County Sheriff,425 days 21:21:14.358521
Canton Police Department,105 days 03:16:46.498115500
Canton Public Safety,25 days 16:59:57.607818
Canton Village Police Department,69 days 06:27:15.589536
Canyon County Sheriff's Office,24 days 02:30:12.724354
Cape Coral Police Department,25 days 18:45:13.965697500
Cape Girardeau Police Department,7 days 05:02:03.200151
Cape May County Sheriff's Office,18 days 10:42:05.780743
Cape Vincent Village Police Department,9 days 08:19:53.304441
Carbon County Sheriff's Office,284 days 00:48:33.859427
Caribou County Sheriff's Office,34 days 08:06:50.194767
Carlisle Borough Police Department,61 days 06:40:09.067009
Carlsbad Police Department,77 days 18:45:06.636806
"Carlsbad, CA Police Department",77 days 16:42:53.101776668
Carlton County Sheriff,13 days 18:38:28.704701
Carmel Town Police Department,9 days 04:40:00.796250
Carnegie Police Department,43 days 20:00:00
Carol Stream Police Department,30 days 19:30:00
Caroline County Police Department,9 days 00:48:00.206614
Carpentersville Police Department,1 days 20:00:00
Carrboro Police Department,0 days 18:46:20.974739
Carroll County Sheriff,136 days 13:28:30.035972750
Carroll County Sheriff's Office,27 days 00:49:24.337255666
Carroll County Sheriffs Office,0 days 20:32:53.269925
Carroll Town Police Department,22 days 16:59:51.829051
Carrollton Police Department,31 days 14:03:20.867572
Carson City Sheriff’s Department,371 days 18:49:29.087680
Carteret County Sheriff's Office,29 days 23:01:46.758749
Cartersville Police Department,91 days 19:39:00.485130
Carthage Police Department,156 days 17:42:59.982196
Carthage Village Police Department,0 days 20:00:00
Carver County Sheriff's Office (minnesota),196 days 00:55:06.885370
Cary Police Department,65 days 07:42:43.414432889
Casa Grande Police Department,20 days 20:10:44.233584
Cass County Sheriff's Office,18 days 07:46:57.698253
Cass County Sheriff’s Office,445 days 23:13:07.359656
Cassia County Sheriff's Office,108 days 19:24:39.085790
Castle Rock Police Department,4 days 18:15:26.394153
Catahoula Parish Sheriff's Office,52 days 20:00:00
Catawba County Sheriff,34 days 05:06:38.246208500
Cathedral City Police Department,27 days 11:46:59.321779500
Cayuga Heights Police Department,78 days 12:27:49.069621
Cecil County Sheriff's Office,23 days 06:25:50.445866400
Cedar Park Police Department,36 days 02:24:31.978034
Cedar Rapids Police Department,27 days 00:49:51.126783400
Cedartown Police Department,1 days 04:54:45.326573
Celina Police Department,34 days 20:00:00
Centerville Police Department,89 days 15:27:58.923006
Central Connecticut State University Police Department,23 days 00:41:01.952673
Central Falls Police Department,38 days 16:09:39.097663600
Central Marin Police Authority,43 days 23:27:35.048179666
Centre Island Village Police Department,68 days 15:24:55.671412
Ceres Police Department,19 days 19:24:07.194452
Chadron Police Department,0 days 17:52:30.101041
Chaffee County Sheriff,4 days 07:38:57.840012
Chambersburg Police Department,15 days 07:39:10.418376
Champaign County Sheriff,4 days 21:33:00.541355
Champaign Police Department,12 days 23:27:08.798123333
Chandler Police Department,88 days 10:25:06.558569863
Chapel Hill Police Department,70 days 13:50:23.520335279
Chardon Police,0 days 20:00:00
Charles County Sheriff's Office,158 days 04:58:40
Charleston County Sheriff's Office,69 days 20:55:03.051836333
Charleston Police Department,32 days 04:46:29.916847923
Charlestown Police Department,1 days 14:00:00
Charlotte County Sheriff's Office,28 days 00:27:12.181799400
Charlotte-Mecklenburg Police Department,100 days 04:43:19.624799143
Charlottesville Police Department,141 days 23:40:31.030929222
Chatham County Sheriff,24 days 16:26:16.148560
Chatham County Sheriff's Office,35 days 02:01:32.787986
Chatham County Sheriffs Office,11 days 22:17:55.781546
Chatham Township Police Department,12 days 00:00:58.146943
Chattahoochee Hills Police,20 days 20:27:55.976894
Chattanooga Police Department,7 days 18:53:09.060917
Chattooga County Sheriff's Office,10 days 18:44:02.451356
Chaves County Sheriff's Office,1 days 07:30:00
Cheatham County Sheriff’s Office,446 days 06:22:07.358083
Cheektowaga Police Department,335 days 21:25:34.480519
Chelan County Sheriff,14 days 01:58:42.144886
Chelmsford Police Department,35 days 19:40:00
Chelsea Police Department,539 days 15:55:22.561228720
Chemung County Sheriff,20 days 00:51:43.147911
Chenango County Sheriff's Office,4 days 08:29:59.956104500
Cherokee County Sheriff's Office,17 days 11:06:56.274424333
Chesapeake City Police Department,38 days 21:32:00.427112538
Chester Police Department,180 days 20:00:00
Chesterfield Police Department,9 days 06:52:33.261604200
Chevy Chase Police,1 days 22:06:47.118730
Cheyenne County Sheriff,13 days 23:09:29.564773
Chicago City Council Committee On Public Safety,51 days 22:10:44.593090
Chicago Office Of Police Accountability,16 days 09:26:38.230085500
Chicago Police Department,64 days 15:20:39.193454091
Chichester Police Department,17 days 17:07:01.411346
Chickasaw Nation Lighthorse Police Department,48 days 20:00:00
Chico Police Department,68 days 07:59:39.423632833
Chicopee Police Department,14 days 07:30:00
Chillicothe Police,7 days 19:24:57.355552
Chino Police Department,292 days 10:10:10.045162248
Chisago County Sheriff,6 days 14:18:15.583021
Chittenango Village Police Department,237 days 15:24:53.143936
Chittenden County Sheriff's Department,2 days 20:00:00
Chowan County Sheriff's Office,13 days 04:30:20.044883
Christian County Sheriff MO,284 days 08:20:51.530913
Christian County Sheriff's Office,33 days 16:30:07.331612
Chula Vista Police Department,30 days 09:43:20.428095762
Cincinnati Police Department,97 days 20:21:36.982485355
Citrus County Sheriff's Office,69 days 07:56:56.250041333
Citrus Heights Police Department,204 days 08:25:03.064928250
City Of Allen Police Department,38 days 00:38:22.567491333
City Of Bridgeport Police Department,24 days 05:33:21.233742
City University Of New York Public Safety Department,37 days 03:34:30.542390
City of Albany Police Department,211 days 20:16:12.059602264
City of Canton Police Department,15 days 20:00:00
City of Fort Collins Police Department,35 days 17:07:37.273538600
City of Fort Lauderdale Police Department,16 days 09:04:31.990712733
City of North Las Vegas Police Department,45 days 21:54:12.920504750
City of Ocoee Police Department,46 days 20:00:00
City of San Luis Obispo Police Department,13 days 06:25:45.010845400
City of Santa Barbara Police Department,29 days 20:39:59.290593833
City of Westminster Police,39 days 13:02:04.831752
City of Winnfield Police Department,162 days 20:00:00
Clackamas County Sheriff's Office,17 days 22:20:28.231865750
Claiborne Parish Sheriff's Office,336 days 20:00:00
Clare County Sheriff's Office,6 days 21:32:48.303510
Claremont Police Department,7 days 16:39:52.458713200
Clark County Sheriff,218 days 17:23:34.883507
Clark County Sheriff's Department,113 days 13:39:19.507781666
Clark County Sheriff's Office,50 days 06:16:50.029066750
Clarkstown Police Department (NY),166 days 15:52:32.157262
Clarksville Police Department,20 days 18:36:55.523030333
Clatskanie Police Department,71 days 05:25:56.433002
Clay County Sheriff,0 days 23:45:02.282141
Clay County Sheriff's Office,28 days 08:17:57.798457750
Clayton County Police Department,329 days 22:39:22.894893744
Clayton County Sheriff,42 days 07:41:05.145858
