,Agency,Avg Days Till Completion
238,Boone County Sheriff's Department,027 days 13:47:00
239,Boone County Sheriff's Office,012 days 23:44:38
240,Bossier Parish Sheriff's Office,022 days 19:00:00
241,Bossier Sheriffs Office,056 days 17:28:22
242,Boston Police Department,130 days 22:34:18
243,Boston University Police,064 days 19:48:00
244,Bothell Police Department,010 days 23:55:46
245,Boulder City Police Department,175 days 04:47:35
246,Boulder County Sheriff's Office,011 days 16:30:34
247,Boulder Police Department,054 days 01:09:01
248,Boundary County Sheriff's Office,034 days 19:11:00
249,Bow Police Department,015 days 21:08:47
250,Bowie Police Department,021 days 16:05:26
251,Boynton Beach Police Department,011 days 14:32:40
252,Bozeman Police Department,056 days 13:07:52
253,Bradenton Police Department,427 days 09:44:40
254,Bradford County Sheriff's Office,033 days 20:00:00
255,Bradford Township Police Department,135 days 20:17:00
256,Bradley Beach Police Department,110 days 19:00:00
257,Bradley County Sheriff's Office,010 days 21:30:25
258,Braintree Police Department,480 days 19:52:23
259,Brandon Police Department,03 days 09:04:38
260,Branson Police Department,045 days 19:32:53
261,Brant Town Police Department,226 days 13:22:56
262,Brawley Police Department,064 days 14:09:52
263,Braxton County Sheriff,1510 days 00:56:00
264,Brazoria County Sheriff's Office,023 days 20:37:21
265,Brea Police Department,013 days 03:22:44
266,Brentwood Police Department,018 days 17:51:44
267,Brevard County Sheriff,023 days 01:25:36
268,Brevard County Sheriff's Office,09 days 08:28:47
269,Brewster Village Police Department,093 days 20:00:00
270,Bridge City Police Department,278 days 08:34:33
271,Bridgeville Police Department,1953 days 04:26:49
272,Bridgewater Township Police Department,019 days 08:45:19
273,Bridgewater police department,03 days 23:01:15
274,Brighton Town Police Department,188 days 16:54:44
275,Brisbane Police Department,012 days 17:46:10
276,Bristol County Sheriff's Office,090 days 18:05:12
277,Bristol Police Department,04 days 08:00:00
278,Bristol Township Police Department,020 days 23:39:42
279,Bristow Police Department,026 days 20:00:00
280,Broadmoor Police Protection District,027 days 18:11:37
281,Brockport Police Department,135 days 18:37:50
282,Brockton Police Department,239 days 23:57:52
283,Broken Arrow Police Department,190 days 14:08:08
284,Bronxville Police Department,1070 days 21:09:07
285,Brookfield Police Department,03 days 14:41:26
286,Brookhaven Police Department,04 days 02:40:38
287,Brookline Police Department,026 days 08:07:43
288,"Brooklyn Center, Mn Police",092 days 09:28:48
289,Brooksville Police Department,05 days 20:00:00
290,Broome County Sheriff,065 days 11:59:06
291,Broome County Sheriffs Office,012 days 21:01:14
292,Broomfield County Sheriff,024 days 02:27:16
293,Broward County Sheriff,060 days 20:41:48
294,Brownsburg Police Department,022 days 20:00:00
295,Brownstown Police Department,04 days 20:00:00
296,Brownsville Police Department,039 days 20:55:09
297,Brownville Village Police Department,024 days 08:40:25
298,Brunswick Police Department,017 days 20:00:00
299,Bryan County Sheriff's Office,076 days 07:41:05
300,Buchanan Village Police Department,106 days 17:16:02
301,Buckeye Police Department,051 days 21:40:00
302,"Bucks County Sheriff, PA",089 days 04:20:50
303,Buda Police Department,04 days 01:29:30
304,Buena Park Police Department,015 days 14:53:19
305,Buffalo Police Department,090 days 09:46:03
306,Bullhead City Police Department,101 days 20:00:00
307,Bulverde Police Department,011 days 20:17:17
