,Agency,Avg Days Till Completion
1179,Island County Sheriff's Office,017 days 01:07:06
1180,Itasca Police Department,033 days 04:12:51
1181,Ithaca Police Department,099 days 09:01:10
1182,Iuka Police Department,307 days 12:23:46
1183,Izard County Sheriff'S Office,03 days 00:54:39
1184,Jackson County Sheriff,120 days 16:59:42
1185,Jackson County Sheriff's Office,296 days 02:57:02
1186,Jackson County Sheriffs Office,040 days 07:34:02
1187,Jackson County Sheriff’s Office,080 days 13:24:48
1188,Jackson Parish Sheriff's Office,015 days 08:00:00
1189,Jackson Police Department,092 days 10:52:25
1190,Jacksonville Beach Police Department,010 days 15:12:59
1191,Jacksonville Police Department,063 days 11:27:37
1192,Jacksonville Sheriff's Office,077 days 05:34:08
1193,Jamestown Police Department,09 days 20:00:00
1194,Jasper County Sheriff's Office,019 days 18:31:46
1195,Jefferson City Police Department,031 days 13:27:38
1196,Jefferson County Sheriff,032 days 17:05:53
1197,Jefferson County Sheriff's Department,216 days 06:30:43
1198,Jefferson County Sheriff's Department (wa),00 days 21:37:36
1199,Jefferson County Sheriff's Office,256 days 10:11:14
1200,Jefferson County Sheriffs Office,021 days 14:27:56
1201,Jefferson County TX Sheriff Office,018 days 11:05:23
1202,Jefferson Davis Parish Sheriff's Office,038 days 20:00:00
1203,Jefferson Parish Sheriff,054 days 04:28:00
1204,Jefferson Parish Sheriff's Office,116 days 20:00:00
1205,Jefferson Police Department,029 days 20:00:00
1206,Jersey City Police Department,212 days 00:57:20
1207,Jersey County Sheriff's Office,074 days 23:29:36
1208,Jo Daviess County Sheriff's Office,018 days 18:05:40
1209,Johnson County Sheriff,014 days 05:13:23
1210,Johnson County Sheriff's Office,190 days 21:18:08
1211,Johnston County Sheriff's Office,040 days 18:36:40
1212,Johnston Police Department,015 days 04:53:58
1213,Joliet Police Department,09 days 19:00:00
1214,Jones County Sheriff's Office,025 days 21:26:31
1215,Jonesboro Police Department,210 days 18:18:54
1216,Jupiter Police Department,031 days 20:36:22
1217,Justice And Public Safety Cabinet,029 days 18:50:54
1218,Kalamazoo County Sheriff,079 days 20:35:56
1219,Kalkaska County Sheriff's Office,012 days 17:13:08
1220,Kanawha County Sheriff,1175 days 11:56:00
1221,Kane County Sheriff,08 days 20:32:43
1222,Kane County Sheriff's Department,09 days 22:47:32
1223,Kansas City Kansas Police Department,128 days 00:20:08
1224,Kansas City Police Department,067 days 06:32:20
1225,Karnes County Sheriff,010 days 20:00:00
1226,Kauai Police Department,071 days 10:24:00
1227,Kaukauna Police,014 days 14:31:22
1228,Keene Police Department,120 days 20:12:55
1229,"Keller, TX Police Department",010 days 13:45:00
1230,Kemper County Sheriff,279 days 10:11:43
1231,Kendall County Sheriff,010 days 20:41:26
1232,Kennesaw Police Department,122 days 20:12:44
1233,Kennesaw State University Police,05 days 18:08:15
1234,Kennett Square Police Department,091 days 20:47:15
1235,Kennewick Police,046 days 07:24:29
1236,Kenosha County Sheriff,012 days 20:31:08
1237,Kenosha Police Department,192 days 13:09:16
1238,Kensington Police Protection and Community Services District,017 days 19:00:00
1239,Kent County Sheriff,034 days 01:16:56
1240,Kent County Sheriff's Office,00 days 01:42:53
1241,Kent Police Department,078 days 03:21:29
1242,Kentucky State Police,055 days 11:04:17
1243,Kentwood Police Department,261 days 17:36:19
1244,Kern County Sheriff's Office,062 days 15:08:21
1245,Kershaw County Sheriff,01 days 03:31:41
1246,"Kettering, OH Police Department",023 days 07:30:00
1247,Key Colony Beach Police Department,08 days 11:21:23
1248,Key West Police Department,065 days 05:36:30
1249,Killeen Police Department,157 days 01:42:14
1250,Kinder Police Department,1116 days 14:36:13
1251,King County Sheriff's Office,090 days 04:29:38
1252,King George County Sheriff's Office,00 days 08:57:45
1253,Kings County Sheriff,088 days 09:00:32
1254,Kings Point Police Department,122 days 06:48:24
1255,Kingsburg Police Department,010 days 20:35:14
1256,Kingston Police Department,055 days 10:42:08
1257,Kiowa County Sheriffs Office,153 days 20:53:24
1258,Kirkland Police Department,014 days 21:33:31
1259,Kirkwood Police Department,373 days 17:07:23
1260,Kissimmee Police Department,048 days 16:16:54
1261,Kit Carson County Sheriffs Office,477 days 20:00:00
1262,Kitsap County Sheriff's Office,022 days 19:13:45
1263,Knox County Sheriff,039 days 06:27:32
1264,Knox County Sheriff's Office,435 days 00:55:31
1265,Knoxville Police Department,013 days 19:24:00
1266,Kootenai County Sheriff,04 days 12:07:27
1267,Kosciusko County Sheriff's Department,011 days 00:30:55
1268,Kyle Police Department,012 days 02:38:38
1269,La Crescent Police Department,053 days 09:57:43
1270,La Crosse Police Department,062 days 20:00:00
1271,La Habra Police Department,016 days 08:29:56
1272,"La Mesa, CA Police Department",018 days 04:22:44
1273,La Palma Police Department,188 days 13:58:24
1274,La Paz County Sheriff,011 days 20:19:59
1275,La Plata Police Department,03 days 19:00:00
1276,La Salle County Sheriff,013 days 08:14:02
1277,La Verne Police Department,046 days 23:44:55
1278,Lacey Police Department,010 days 02:42:16
1279,Lackawanna City Police Department,074 days 08:53:52
1280,"Lackawanna County, Pa Sheriff's Office",021 days 18:29:27
1281,Lacy Lakeview Police Department,06 days 02:12:21
1282,Lafayette County Sheriff's Office,025 days 07:51:35
1283,Lafayette Police Department,051 days 14:52:57
1284,Lafourche Parish Sheriff's Office,014 days 08:37:13
1285,Laguna Beach Police Department,014 days 03:02:36
1286,Lake Arthur Police Department,550 days 22:47:31
1287,Lake Charles Police Department,013 days 14:08:25
1288,Lake County Sheriff,010 days 17:50:47
1289,Lake County Sheriff's Office,120 days 23:35:06
1290,Lake Forest Police Park Department,011 days 22:40:20
1291,Lake Mills Police Department,04 days 18:04:21
1292,Lake Oswego Police Department,031 days 21:30:00
1293,Lake Ozark Police Department,264 days 11:05:23
1294,Lake Placid Police Department,04 days 20:00:00
1295,Lake Shastina Police Department,012 days 16:37:57
1296,Lake Success Village Police Department,265 days 16:30:05
1297,Lake Villa Police Department,01 days 20:00:00
1298,"Lake Zurich Police Department, Illinois",00 days 10:55:35
1299,Lakeland Police Department,133 days 14:05:21
1300,Lakeville Police Department,083 days 12:53:23
1301,Lakeway Police Department,04 days 00:22:55
1302,Lakewood Police Department,060 days 21:49:46
1303,Lakewood-Busti Village Police Department,201 days 00:35:43
1304,Lamar County Sheriff's Department,384 days 02:45:51
1305,Lancaster Bureau of Police,023 days 21:57:26
1306,Lancaster County Sheriff,07 days 09:09:15
1307,Lancaster County Sheriff's Department,06 days 11:00:00
1308,Lancaster Police Department,628 days 11:57:40
1309,Lane County Sheriff's Office,232 days 08:00:00
1310,Lanier County Sheriff's Office,013 days 20:23:54
1311,Lanier County Sheriffs Office,012 days 02:59:42
1312,Lansing Police Department,023 days 09:08:04
1313,Lapeer County Sheriff's Office,02 days 13:43:47
1314,Laramie County Sheriff,063 days 11:14:38
1315,Larchmont Village Police Department,410 days 12:04:29
1316,Laredo Police Department,102 days 00:05:14
1317,Larimer County Sheriff,01 days 03:20:00
1318,Las Animas County Sheriff's Office,379 days 02:32:16
1319,Las Animas Police Department,486 days 20:00:00
1320,Las Cruces Police Department,040 days 01:26:34
1321,Las Vegas Metropolitan Police Department,102 days 08:49:33
1322,Lasalle Parish Sheriff's Office,342 days 20:00:00
1323,Lassen County Sheriff's Department,050 days 04:09:29
1324,Lauderhill Police Department,037 days 00:00:19
1325,Laurel Police Department,027 days 01:31:52
1326,Laurens County Sheriff,016 days 07:41:05
1327,Lawrence County Sheriff's Office,083 days 07:46:58
1328,Lawrence Police Department,144 days 07:02:42
1329,Lawton Police Department,110 days 22:49:13
1330,Layton Police Department,09 days 11:16:45
1331,Le Roy Village Police Department,207 days 14:25:12
1332,Lea County Sheriff's Department,09 days 20:00:00
1333,League Police Department,097 days 11:07:02
1334,Leavenworth Police Department,02 days 20:24:45
1335,Leawood Police Department,07 days 04:43:47
1336,"Lebanon County, Pa Sheriff's",018 days 05:48:10
1337,Lebanon Police Department,05 days 05:03:20
1338,Lee County Sheriff,08 days 20:00:00
1339,Lee County Sheriff's Office,045 days 15:05:31
1340,"Lee's Summit Police Department, Lee's Summit",01 days 21:47:25
1341,Leelanau County Sheriff's Office,02 days 07:30:46
1342,Leesburg Police Department FL,010 days 22:39:15
1343,Leesburg Police Department VA,04 days 22:38:56
1344,Leflore County Sheriff,214 days 05:24:21
1345,Lehi City Police Department,020 days 06:14:54
1346,Leicester Police Department,024 days 16:25:04
1347,Lemoore Police Department,04 days 20:00:00
1348,Lenawee County Sheriff,014 days 18:04:47
1349,Lenoir County Sheriff's Office,186 days 22:37:01
1350,Lenox Police Department,098 days 20:00:00
1351,Leon County Sheriff Department,025 days 20:22:43
1352,Leon County Sheriff's Office,015 days 05:04:42
1353,Leslie Police Department,06 days 23:52:43
1354,Levy County Sheriff,02 days 21:12:18
1355,Lewis County Sheriff,231 days 16:33:09
1356,Lewis County Sheriff's Department,024 days 03:48:33
1357,Lewis County Sheriff's Office,046 days 13:19:01
1358,Lewiston Police Department,020 days 08:57:45
1359,Lewiston Town Police Department,207 days 05:41:56
1360,Lewisville Police Department,039 days 15:24:32
1361,Lexington County Sheriff,092 days 20:09:04
1362,Lexington Division of Police,327 days 12:10:24
1363,Lexington Police Department,411 days 19:40:00
1364,Liberal Police Department,07 days 22:16:40
1365,Liberty County Sheriff's Office,119 days 13:12:31
1366,Lima Police Department,281 days 15:05:46
1367,Lincoln County Sheriff,07 days 21:02:20
1368,Lincoln County Sheriff MO,116 days 11:05:23
1369,Lincoln County Sheriff's Department,107 days 19:45:00
1370,Lincoln County Sheriff's Office,033 days 21:57:43
1371,Lincoln Parish Sheriff's Office,142 days 20:00:00
1372,Lincoln Park Police Department,012 days 04:03:54
1373,Lincoln Police Department,028 days 13:52:53
1374,Lincolnshire Police Department,01 days 09:58:15
1375,Lincolnwood Police Department,024 days 21:06:17
1376,Linden Police Department,028 days 22:57:11
1377,Lindsay Police Department,08 days 18:41:28
1378,Litchfield Police Department,04 days 23:35:49
1379,Lithonia Police Department,123 days 22:19:59
1380,Little Compton Police Department,02 days 08:00:00
1381,Little Rock Police Department,153 days 02:13:49
1382,Littleton Police Department,02 days 17:04:34
1383,Livermore Police Department,105 days 07:00:09
1384,Livingston County Sheriff,156 days 00:10:19
1385,Livingston County Sheriff's Office,011 days 04:53:19
1386,Livingston Parish Sheriff's Office,052 days 08:00:00
1387,Livonia Police Department,019 days 04:44:52
1388,Lloyd Harbor Village Police Department,067 days 11:09:59
1389,Lockport City Police Department,076 days 09:33:43
1390,Locust Grove Police Department,620 days 21:31:44
1391,Lodi Police Department,07 days 20:43:59
1392,Logan City Police Department,012 days 08:40:49
1393,Logan County Sheriff's Office,011 days 12:55:49
1394,Loganville Police Department,09 days 06:36:00
1395,Lombard Police Department,02 days 20:56:43
1396,Lomita Sheriff’s Station - City of Rancho Palos Verdes,096 days 20:00:00
1397,Londonderry Police Department,589 days 15:30:24
1398,Long Beach Police Department,136 days 13:10:17
1399,Long County Sheriff's Office,010 days 09:27:48
1400,Long County Sheriffs Office,074 days 19:14:08
1401,Long Hill Township Police Department,07 days 19:00:00
1402,Longboat Key Police Department,032 days 20:10:21
1403,Longmeadow Police Department,628 days 01:45:00
1404,Longmont Police Department,03 days 22:22:42
1405,Longview Police Department,023 days 20:00:00
1406,Lonoke County Sheriff'S Office,017 days 12:16:27
1407,Lorena Police Department,032 days 17:18:01
1408,Los Alamitos Police Department,059 days 21:17:12
1409,Los Altos Police Department,026 days 12:03:38
1410,Los Angeles County Sheriff's Department,128 days 23:46:57
1411,Los Angeles Police Department,160 days 00:12:52
1412,Los Angeles School Police Department,076 days 08:27:32
1413,Los Banos Police Department,07 days 15:28:18
1414,Los Gatos Monte Sereno Police Department,044 days 19:00:00
1415,Los Gatos/Monte Sereno Police Department,011 days 20:32:40
1416,Loudoun County Sheriff's Office,035 days 07:30:00
1417,Louisiana State Police,113 days 20:00:49
1418,Louisville Metro Police,011 days 04:24:42
1419,Louisville Metro Police Department,081 days 12:01:54
1420,Loveland Police Department,02 days 20:00:00
1421,Loves Park Police Department,07 days 22:47:40
1422,Lowell Police Department,108 days 13:55:08
1423,Lowndes County Sheriff's Office,020 days 03:13:42
1424,Lowville Village Police Department,355 days 11:45:37
1425,Lubbock County Sheriff's Office,040 days 23:06:51
1426,Lubbock Police Department,050 days 13:30:34
1427,Luce County Sheriff,00 days 08:01:28
1428,Lufkin Police Department,020 days 02:03:30
1429,Lumberton Police Department,03 days 17:24:40
1430,Lumpkin County Sheriff's Office,025 days 18:00:08
1431,Lynchburg Police Department,138 days 11:09:26
1432,Lyndeborough Police Department,05 days 00:15:48
1433,Lynn Police Department,136 days 18:34:57
1434,Lynnfield Police Department,017 days 19:00:00
1435,MARTA Police Department,019 days 08:26:32
1436,MBTA Transit Police,044 days 02:10:55
1437,Macomb County Sheriff,015 days 08:01:28
1438,Macon County Sheriff,06 days 07:46:58
1439,Macon County Sheriff's Office,481 days 02:16:58
1440,Macoupin County Sheriff's Office,012 days 21:12:27
1441,Madera County Sheriff's Office,093 days 00:53:06
1442,Madera Police Department,013 days 20:00:00
1443,Madison County Sheriff,047 days 17:31:55
1444,Madison County Sheriff's Department,020 days 16:20:20
1445,Madison County Sheriff's Office,037 days 21:20:15
1446,Madison County Sheriff’s Office,059 days 20:08:15
1447,Madison Police Department,108 days 23:08:13
1448,Madisonville Police Department,04 days 04:22:48
1449,Mahanoy Township Police Department,808 days 11:05:23
1450,Mahaska County Sheriff,261 days 20:00:00
1451,Maine State Police,021 days 04:12:15
1452,Malden Police Department,135 days 17:34:36
1453,Malvern Police Department,097 days 11:05:23
1454,Malverne Village Police Department,119 days 00:08:19
1455,Mamaroneck Town Police Department,095 days 14:59:14
1456,Mamou Police Department,148 days 17:57:24
1457,Manalapan Police Department,049 days 03:36:56
1458,Manatee County Sheriff's Office,016 days 00:12:12
1459,Manchester Center Police Department,08 days 08:00:00
1460,Manchester Police Department,073 days 08:50:40
1461,Mandan Police Department,038 days 19:00:00
1462,Manhattan Beach Police Department,053 days 06:25:16
1463,Manheim Borough Police Department,016 days 19:00:00
1464,Manor Township Police Department,06 days 19:00:00
1465,Mansfield Police Department,179 days 02:51:42
1466,Manteca Police Department,210 days 16:34:21
1467,Maplewood Police Department,073 days 22:32:28
1468,Marana Police Department,06 days 10:15:14
1469,Marathon County Sheriff's Office,02 days 19:00:00
1470,Marcellus Village Police Department,040 days 00:01:58
1471,Maricopa County Sheriff,079 days 12:29:51
1472,Maricopa Police Department,04 days 19:00:00
1473,Marietta Police Department,011 days 00:31:34
1474,Marin County Sheriff,080 days 00:29:52
1475,Marina Police Department,133 days 19:30:00
1476,Marion County Sheriff,339 days 04:47:16
1477,Marion County Sheriff's Office,031 days 07:25:02
1478,Marion County Sheriffs Office,038 days 09:05:12
1479,Mariposa County Sheriff,019 days 16:24:02
1480,Marlborough Police Department,465 days 10:34:24
1481,Marlborough Town Police Department,341 days 10:17:22
1482,Martin County Sheriff's Office,057 days 19:00:00
1483,Martinez Police Department,09 days 12:42:56
1484,Martinsburg Police Department,234 days 20:00:00
1485,Martinsville Police Department IN,084 days 23:18:29
1486,Martinsville Police Department VA,088 days 00:10:38
1487,Maryland State Police,046 days 22:30:40
1488,Marysville Police Department,017 days 23:00:18
1489,Maryville Police Department,02 days 14:10:39
1490,Mason County Sheriff,05 days 08:01:28
1491,Mason County Sheriff's Office,341 days 22:06:32
1492,Mass Maritime Academy Public Safety,013 days 19:00:00
1493,Massac County Sheriff's Office,021 days 07:46:58
1494,Massachusetts College of Art and Design Public Safety,067 days 19:00:00
1495,Massachusetts Environmental Police,358 days 05:30:00
1496,Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,268 days 00:53:09
1497,Massachusetts Institute of Technology Police,010 days 08:03:32
1498,Massachusetts Sheriffs' Association,071 days 18:47:49
1499,Massachusetts State Police,096 days 15:06:57
1500,Massena Village Police Department,097 days 06:20:49
1501,Maui County Police Department,019 days 11:47:32
1502,Maui Police Department,013 days 16:09:55
1503,Maybrook Village Police Department,179 days 13:18:02
1504,Mayor's Office of Public Safety,036 days 20:00:00
1505,Maywood Police Department,011 days 19:05:57
1506,McAlester Police Department,456 days 20:00:00
1507,McAllen Police Department,348 days 00:54:00
1508,McCulloch County Sheriff,012 days 20:00:00
1509,McDonough Police Department,011 days 19:00:00
1510,McFarland Police Department,052 days 20:00:00
1511,McGraw Village Police Department,019 days 08:35:21
1512,McHenry County Sheriff,018 days 07:46:58
1513,McIntosh County Sheriff's Office,011 days 20:00:00
1514,McIntosh County Sheriffs Office,038 days 20:33:36
1515,McKinney Police Department,110 days 01:20:47
1516,McLean County Sheriff,05 days 00:56:00
1517,McLennan County Sheriff,09 days 21:31:43
1518,McMinn County Sheriff,049 days 00:56:00
1519,Mcdonough County Sheriff's Office,013 days 07:46:58
1520,Mchenry Police Department Illinois,012 days 22:49:38
1521,Mcintosh County Sheriff's Office,027 days 15:10:15
1522,Mckee Kentucky Sheriff's Department,014 days 23:14:01
1523,Meadville Police Department,05 days 00:02:59
1524,Mechanicville City Police Department,088 days 14:29:18
1525,Mecklenburg County Sheriff's Office,016 days 20:00:00
1526,Mecosta County Sheriff’s Office,08 days 16:41:19
1527,Medfield Police Department,010 days 17:44:11
1528,Medford Police Department,804 days 05:24:44
1529,Medina County Sheriff,02 days 20:00:00
1530,Medina Police Department,03 days 19:00:00
1531,Medina Village Police Department,196 days 23:51:50
1532,Medley Police Department,130 days 05:51:12
1533,Meigs Police Department,1188 days 21:28:13
1534,Melbourne Police Department,021 days 15:42:32
1535,Melrose Police Department,030 days 18:32:50
1536,Memorial Villages Police Department,014 days 00:12:43
1537,Memphis International Airport Police  Department,575 days 11:19:59
1538,Memphis Police Department,120 days 20:17:52
1539,Menasha Police,05 days 20:46:25
1540,Mendham Police Department,040 days 20:00:00
1541,Mendocino County Sheriff's Department,025 days 10:16:25
1542,Menlo Park Police Department,464 days 19:04:26
1543,Merced County Sheriff's Department,047 days 08:19:51
1544,Merced Police Department,027 days 05:52:34
1545,Mercer County Sheriff,015 days 09:41:54
1546,Mercer County Sheriff's Office,010 days 02:33:00
1547,Meridian Police Department,016 days 07:30:00
1548,Meriwether County Sheriffs Office,020 days 19:45:28
1549,Merriam Police Department,055 days 20:53:53
1550,Merrimack Police Department,034 days 05:07:51
1551,"Mesa County, CO Sheriff",046 days 20:00:00
1552,Mesa Police Department,058 days 15:04:36
1553,Mesquite Police Department,023 days 21:17:45
1554,Mesquite Police Department NV,034 days 19:44:19
1555,Metropolitan Nashville Police Department,036 days 01:06:40
1556,Metropolitan Police Department,177 days 07:59:29
1557,Metropolitan Transit Authority Police,111 days 00:29:34
1558,Metter Police Department,016 days 14:31:26
1559,Miami Beach Police Department,050 days 10:32:21
1560,Miami County Sheriff,03 days 20:39:08
1561,Miami Gardens Police Department,026 days 01:43:41
1562,Miami Police Department,108 days 11:04:33
1563,Miami Springs Police Department,019 days 21:41:36
1564,Miami-Dade County Police,092 days 15:39:14
1565,Michigan State Police,088 days 07:09:36
1566,Middlesex County Sheriff,08 days 21:35:36
1567,Middlesex County Sheriff's Office,067 days 11:45:21
1568,Middleton Police Department,251 days 19:05:02
1569,Middletown Police Department,022 days 08:10:43
1570,Midland County Sheriff,022 days 22:17:20
1571,Midland Police Department,060 days 06:48:36
1572,Midlothian Police Department,595 days 15:22:10
1573,Midlothian Police Department TX,021 days 09:21:35
1574,Midway Police Department,015 days 11:05:23
1575,Midwest City Police Department,017 days 16:05:38
1576,Milford Police Department,021 days 04:39:32
1577,Mill Valley Police Department,020 days 01:44:47
1578,Millburn Police Department,013 days 11:07:55
1579,Millcreek Police Department,149 days 15:54:42
1580,Miller County Sheriffs Office,066 days 22:09:31
1581,Millerton Village Police Department,039 days 15:25:49
1582,Millis Police Department,134 days 20:00:00
1583,Millville Police Department,100 days 20:00:00
1584,Milpitas Police Department,027 days 22:29:42
1585,Milton Police Department,086 days 19:36:52
1586,Milwaukee County Sheriff,097 days 23:23:31
1587,Milwaukee Police Department,073 days 22:04:49
1588,Mineral County Sheriff's Office,917 days 13:04:20
1589,Minneapolis Parks Police,030 days 03:56:01
1590,Minneapolis Police Department,090 days 15:24:05
1591,Minnehaha County Sheriff,010 days 07:16:10
1592,Minnesota Department of Public Safety,102 days 11:40:00
1593,Minocqua Police Department,039 days 13:38:16
1594,Minot Police Department,03 days 20:00:00
1595,Miramar Police Department,074 days 07:10:32
1596,Mississippi County Sheriff,00 days 20:00:00
1597,Mississippi Department of Public Safety,248 days 17:10:56
1598,Missoula County Sheriff,1184 days 00:56:00
1599,Missouri City Police Department,256 days 18:48:49
1600,Missouri Department of Public Safety,012 days 14:34:17
1601,Missouri Police Chiefs Association,014 days 11:05:23
1602,Moberly Police Department,031 days 07:13:37
1603,Mobile County Sheriff's Department,404 days 20:08:38
1604,Mobile Police Department,225 days 23:56:00
1605,Modesto Police Department,117 days 17:13:34
1606,Modoc County Sheriff,020 days 20:05:04
1607,Mohave County Sheriff's Office,031 days 20:00:00
1608,Monmouth County Sheriff’s Office,022 days 05:47:34
1609,Mono County Sheriff,013 days 07:42:07
1610,Monongalia County Sheriff's Office,06 days 14:33:47
1611,Monroe County Sheriff,029 days 00:58:38
1612,Monroe County Sheriff's Department,419 days 15:38:40
1613,Monroe County Sheriff's Office,129 days 14:20:20
1614,Monroe Police Department,264 days 22:16:28
1615,Monroe Police Department Connecticut,08 days 16:34:58
1616,Monroe Village Police Department,019 days 20:00:00
1617,Monrovia Police Department,018 days 14:26:39
1618,Montague Police Department,014 days 06:11:37
1619,Montcalm County Sheriff,01 days 09:51:14
1620,Montebello Police Department,059 days 16:02:55
1621,Monterey County Sheriff’s Office,073 days 01:58:49
1622,Monterey Park Police Departmentt,012 days 08:09:50
1623,Montgomery County Police Department,150 days 10:33:51
1624,Montgomery County Sheriff,112 days 21:35:34
1625,Montgomery County Sheriff's Department,020 days 23:30:35
1626,Montgomery County Sheriff's Office,166 days 05:19:12
1627,"Montgomery County, Pa Sheriff's Office",055 days 22:29:10
1628,"Montgomery County, TX Sheriff",055 days 03:03:42
1629,Montgomery Police Department,466 days 12:44:27
1630,Monticello Village Police Department,050 days 23:38:58
1631,Montmorency County Sheriff's Office,418 days 16:24:58
1632,Montpelier Police Department,02 days 19:59:42
1633,Montrose County Sheriff's Office,00 days 20:00:00
1634,Montville Police Department,032 days 21:34:18
1635,Montville Township Police Department,06 days 20:00:00
1636,Mooresville Police Department,010 days 19:14:20
1637,Moravia village police department,059 days 21:48:54
1638,Morehouse Parish Sheriff's Office,083 days 12:02:20
1639,Moreno Valley Police Department,085 days 06:59:32
1640,Morgan County Sheriff,013 days 01:11:04
1641,Morgan County Sheriff's Office,148 days 05:14:19
1642,Morgan Hill Police Department,011 days 02:10:38
1643,Morgantown Police Department,043 days 23:34:56
1644,Moriah Town Police Department,904 days 23:08:46
1645,Morris County Sheriff,052 days 22:08:10
1646,Morristown New Jersey Bureau Of Police,047 days 01:18:42
1647,Morton County Sheriff,133 days 04:17:09
1648,Morton Grove Police Department,041 days 01:24:37
1649,Morton Police Department,05 days 02:52:51
1650,Moultonborough Police Department,08 days 23:00:46
1651,Moultrie County Sheriff's Office,063 days 05:24:24
1652,Mounds View Police Department,05 days 11:38:52
1653,Mount Hope Town Police Department,08 days 20:00:00
1654,Mount Morris Village Police Department,228 days 23:34:00
1655,"Mount Olive Township Police Department, Budd Lake",027 days 23:31:40
1656,Mount Pleasant Police Department,067 days 20:00:00
1657,Mount Prospect Police Department,019 days 09:39:26
1658,Mountain View Police Department,014 days 14:14:38
1659,Mower County Sheriff's Department,142 days 20:00:00
1660,"Mt Lebanon Police Department, Mt Lebanon",043 days 11:21:34
1661,Mt Pleasant Police Department,013 days 20:00:00
1662,Mt. Shasta Police Department,011 days 20:30:25
1663,Multnomah County Sheriff's Office,025 days 02:33:17
1664,Muncie Police Department,027 days 20:00:00
1665,Mundelein Police Department,056 days 22:20:23
1666,Municipal Police Training Committee,521 days 20:29:08
1667,Munster Police Department,07 days 19:00:00
1668,Murfreesboro Police Department,297 days 20:00:00
1669,Murray County Sheriff's Office,116 days 13:17:17
1670,Murrieta Police Department,204 days 08:19:22
1671,Muscatine County Sheriff,01 days 20:00:00
1672,Muscogee County Sheriff,023 days 20:35:56
1673,Muskegon County Sheriff,018 days 16:00:29
1674,Muskegon Police Department,012 days 06:21:36
1675,Muskogee County Sheriff,1136 days 00:56:00
1676,Muskogee Police Department,012 days 00:26:16
1677,Myrtle Beach Police Department,030 days 20:00:00
1678,Nacogdoches County Sheriff,050 days 17:12:12
1679,Nahant Police Department,05 days 19:00:00
1680,Nantucket County Sheriff’s Department,063 days 09:05:01
1681,Nantucket Police Department,020 days 19:17:38
1682,Napa County Sheriff,077 days 21:05:46
1683,Napa Police Department,025 days 06:06:13
1684,Naperville Police Department,088 days 12:59:41
1685,Narragansett Police Department,01 days 08:00:00
1686,Nash County Sheriff,055 days 03:30:47
1687,Nashua Police Department,031 days 19:51:36
1688,Nassau County Police Department,092 days 00:07:15
1689,Nassau County Sheriff,889 days 11:11:09
1690,Nassau County Sheriff's Office,106 days 19:25:42
1691,Natick Police Department,011 days 16:51:42
1692,National City Police Department,116 days 20:35:06
1693,Navarro County Sheriff,00 days 20:00:00
1694,Needham Police Department,07 days 19:00:00
1695,Neshoba County Sheriff's Department,05 days 15:00:54
1696,Nevada City Police Department,103 days 06:03:18
1697,Nevada County Sheriff,021 days 16:48:53
1698,Nevada Department of Public Safety,045 days 15:48:44
1699,New Bedford Police Department,024 days 01:51:28
1700,New Berlin Police Department,034 days 20:00:00
1701,New Bern Police Department,023 days 11:07:08
1702,New Brighton Public Safety,011 days 00:04:34
1703,New Brunswick Police (New Jersey),032 days 09:30:16
1704,New Castle County Police Department,023 days 19:47:30
1705,New Castle County Sheriff,00 days 20:00:00
1706,New Castle Police Department,516 days 23:56:00
1707,New Hampshire State Police,150 days 22:46:16
1708,New Hanover County Sheriff's Office,113 days 13:20:24
1709,New Hartford Town Police Department,025 days 07:35:11
1710,New Haven Police Department,198 days 02:18:24
1711,"New Jersey Department Of Law And Public Safety, Division Of Gaming Enforcement",234 days 05:56:55
1712,New Jersey State Police,053 days 22:49:16
1713,New Lenox Police Department,03 days 17:07:47
1714,New Mexico Department of Public Safety,085 days 04:00:00
1715,"New Mexico Department of Public Safety, Grants Management Bureau",045 days 20:00:00
1716,New Mexico State Police,111 days 13:28:11
1717,New Middletown Village Police Department,016 days 23:42:41
1718,New Orleans Police Department,081 days 19:16:59
1719,New Paltz Town & Village Police Department,314 days 12:27:14
1720,New Port Richey Police Department,015 days 20:00:00
1721,New Richmond Police Department,04 days 19:00:00
1722,New Rochelle City Police Department,030 days 23:00:27
1723,New Shoreham Police Department,016 days 20:00:00
1724,New Windsor Police Department,222 days 13:54:38
1725,New York City Police Department,116 days 23:03:24
1726,New York Mills Police,082 days 20:00:00
1727,New York State Municipal Police Training Council,053 days 20:00:00
1728,New York State Parks Police,035 days 09:01:17
1729,New York State Police,087 days 09:55:43
1730,Newark Police Department,154 days 12:08:10
1731,Newaygo County Sheriff,334 days 01:01:42
1732,Newberry County Sheriff's Office,06 days 04:12:08
1733,Newburgh Police Department,134 days 13:57:19
1734,Newington Police Department,022 days 20:00:00
1735,Newport Beach Police Department,023 days 07:36:24
1736,Newport News Police,024 days 02:00:00
1737,Newport News Police Department,02 days 20:00:00
1738,Newport Police Department,05 days 14:00:00
1739,Newton County Sheriff's Office,023 days 07:25:02
1740,Newton County Sheriffs Office,016 days 05:56:51
1741,Newton Police Department,298 days 19:51:41
1742,Newtown Police Department,067 days 06:19:23
1743,Nez Perce County Sheriff's Office,026 days 01:01:25
1744,Niagara County Sheriff,086 days 17:26:53
1745,Niles Police Department,124 days 05:19:50
