,Agency,Avg Days Till Completion
228,Blue Springs Police Department,34 days 16:00:16.121868
229,Blythe Police Department,23 days 08:55:00.684703500
230,Boca Raton Police Department,46 days 10:16:10.103072
231,Boise Police Department,8 days 10:14:57.293575666
232,Bolingbrook Police Department,6 days 20:00:00
233,Bolivar County Sheriff,512 days 23:47:27.886624
234,Bolivar Police Department,75 days 19:20:17.840861
235,Bolton Town Police Department,101 days 12:16:32.124736
236,"Bond County Sheriff's Office, Bond County",99 days 07:46:57.698253
237,Bonner County Sheriff's Office,13 days 23:48:17.187833
238,Boone County Sheriff's Department,27 days 13:46:59.922886333
239,Boone County Sheriff's Office,12 days 23:44:38.351668
240,Bossier Parish Sheriff's Office,22 days 19:00:00
241,Bossier Sheriffs Office,56 days 17:28:21.882776
242,Boston Police Department,130 days 22:34:18.375387770
243,Boston University Police,64 days 19:48:00
244,Bothell Police Department,10 days 23:55:46.542942500
245,Boulder City Police Department,175 days 04:47:34.948046
246,Boulder County Sheriff's Office,11 days 16:30:33.477811166
247,Boulder Police Department,54 days 01:09:01.164181667
248,Boundary County Sheriff's Office,34 days 19:10:59.806901
249,Bow Police Department,15 days 21:08:46.638047
250,Bowie Police Department,21 days 16:05:25.582048500
251,Boynton Beach Police Department,11 days 14:32:40.129969
252,Bozeman Police Department,56 days 13:07:52
253,Bradenton Police Department,427 days 09:44:40.256295
254,Bradford County Sheriff's Office,33 days 20:00:00
255,Bradford Township Police Department,135 days 20:16:59.927195
256,Bradley Beach Police Department,110 days 19:00:00
257,Bradley County Sheriff's Office,10 days 21:30:25.394311
258,Braintree Police Department,480 days 19:52:22.562112328
259,Brandon Police Department,3 days 09:04:37.809085
260,Branson Police Department,45 days 19:32:53.495710
261,Brant Town Police Department,226 days 13:22:56.086442
262,Brawley Police Department,64 days 14:09:52.123410
263,Braxton County Sheriff,1510 days 00:56:00
264,Brazoria County Sheriff's Office,23 days 20:37:21.347640666
265,Brea Police Department,13 days 03:22:43.877048
266,Brentwood Police Department,18 days 17:51:43.497739714
267,Brevard County Sheriff,23 days 01:25:35.409783333
268,Brevard County Sheriff's Office,9 days 08:28:46.925149
269,Brewster Village Police Department,93 days 20:00:00
270,Bridge City Police Department,278 days 08:34:33.102310
271,Bridgeville Police Department,1953 days 04:26:48.930748
272,Bridgewater Township Police Department,19 days 08:45:19.174484
273,Bridgewater police department,3 days 23:01:14.879043
274,Brighton Town Police Department,188 days 16:54:44.190652
275,Brisbane Police Department,12 days 17:46:09.590098
276,Bristol County Sheriff's Office,90 days 18:05:12.347084462
277,Bristol Police Department,4 days 08:00:00
278,Bristol Township Police Department,20 days 23:39:42.011390
279,Bristow Police Department,26 days 20:00:00
280,Broadmoor Police Protection District,27 days 18:11:36.713273
281,Brockport Police Department,135 days 18:37:49.576789500
282,Brockton Police Department,239 days 23:57:52.159075
283,Broken Arrow Police Department,190 days 14:08:08.607312
284,Bronxville Police Department,1070 days 21:09:07.286715008
285,Brookfield Police Department,3 days 14:41:26.087662
286,Brookhaven Police Department,4 days 02:40:37.525310
287,Brookline Police Department,26 days 08:07:43.209358920
288,"Brooklyn Center, Mn Police",92 days 09:28:47.702119
289,Brooksville Police Department,5 days 20:00:00
290,Broome County Sheriff,65 days 11:59:06.410581750
291,Broome County Sheriffs Office,12 days 21:01:13.525420
292,Broomfield County Sheriff,24 days 02:27:15.257156
293,Broward County Sheriff,60 days 20:41:48.423229423
294,Brownsburg Police Department,22 days 20:00:00
295,Brownstown Police Department,4 days 20:00:00
296,Brownsville Police Department,39 days 20:55:09.270374750
297,Brownville Village Police Department,24 days 08:40:25.447480
298,Brunswick Police Department,17 days 20:00:00
299,Bryan County Sheriff's Office,76 days 07:41:05.145858
300,Buchanan Village Police Department,106 days 17:16:01.806226
301,Buckeye Police Department,51 days 21:40:00.138989
302,"Bucks County Sheriff, PA",89 days 04:20:49.958759
303,Buda Police Department,4 days 01:29:30.236542500
304,Buena Park Police Department,15 days 14:53:19.239565750
305,Buffalo Police Department,90 days 09:46:03.484072881
306,Bullhead City Police Department,101 days 20:00:00
307,Bulverde Police Department,11 days 20:17:17.222528
308,Buncombe County Sheriff,70 days 16:07:32.542796
309,Burbank Police Department,185 days 11:56:15.142234252
310,Burke County Sheriff's Office,322 days 10:13:05.544287
311,Burleigh County Sheriff's Department,33 days 20:00:00
312,Burlingame Police Department,18 days 09:26:48.922474666
313,Burlington County (NJ) Public Safety,416 days 19:00:00
314,Burlington County Sheriff,9 days 00:54:17.524234500
315,Burlington Police Department,324 days 04:53:20.083810352
316,Burnsville  Police Department,18 days 20:00:00
317,Burr Ridge Police Department,8 days 10:42:39.515436666
