Agency,Requests Received
Provo Police Department,9
Gastonia Police Department,9
San Mateo Police Department,9
Danvers Police Department,9
UNC-Chapel Hill Department of Public Safety,9
Utica Police Department,9
North Providence Police Department,8
New Mexico Department of Public Safety,8
Sunrise Police Department,8
Minnesota Department of Public Safety,8
Binghamton Police Department,8
Burbank Police Department,8
Rockford Police Department,8
Beverly Hills Police Department,8
Hopkinton Police Department,8
Stamford Police Department,8
Hollywood Police Department,8
Lakeland Police Department,8
Dover Police Department,8
Fullerton Police Department,8
Hidalgo County Sheriff's Office,8
High Point Police Department,8
Monterey County Sheriff’s Office,8
Lake County Sheriff,8
Williamson County Sheriffs Office,8
Virginia Department of Public Safety,8
Rapid City Police Department,8
Round Rock Police Department,8
Norwood Police Department,8
Cobb County Police Department,8
Cherokee County Sheriff's Office,8
Snohomish County Sheriff's Office,8
Salinas Police Department,8
Leicester Police Department,8
Brentwood Police Department,8
Canton Police Department,8
San Joaquin County Sheriff's Office,8
Merced Police Department,8
Boston University Police,8
Appleton Police Department,8
Norman Police Department,8
Las Cruces Police Department,8
Fairfax County Sheriff,8
Middleton Police Department,8
West Springfield Police Department,8
Olathe Police Department,8
Union City Police Department,8
Beacon City Police Department,8
Clay County Sheriff's Office,8
Scituate Police Department,8
Livermore Police Department,8
Niagara County Sheriff,8
Hays County Sheriff's Office,8
North Andover Police Department,8
Mendocino County Sheriff's Department,8
Beaverton Police Department,8
Nantucket Police Department,8
Chico Police Department,8
Antioch California Police Department,8
Clark County Sheriff's Department,8
Sheriff's Department,8
Anoka County Sheriff's Office,8
Hammond Police Department,7
Gloucester Police Department,7
Duluth Police Department,7
Foxborough Police Department,7
Carson City Sheriff’s Department,7
Niagara Falls Police Department,7
Manalapan Police Department,7
Norwalk Police Department,7
Seal Beach Police Department,7
Humboldt County Sheriff's Office,7
Mesquite Police Department,7
Renton Police Department,7
Dayton Police Department,7
Culver City Police Department,7
Rialto Police Department,7
Lowndes County Sheriff's Office,7
Southbridge Police Department,7
Department Of Police Accountability,7
